Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
Teacher's Pet,Tutorial Rock > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/119244364/teachers-pet,1.6,-1,Boulder,V2+,1,10.0,40.00203,-105.29777,,V2+,
Dunce Cap,Tutorial Rock > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/119245016/dunce-cap,1.6,-1,Boulder,V2-3,1,12.0,40.00203,-105.29777,,V2-3,
Lesson's Over,Tutorial Rock > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/116507736/lessons-over,2.1,-1,Boulder,V3,1,10.0,40.00203,-105.29777,,V3,
Up and Right,Front and Center Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/118261379/up-and-right,2.0,-1,Boulder,V1,1,,40.00168,-105.29332,,V1,
Up and Left,Front and Center Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122947286/up-and-left,1.0,-1,Boulder,V3,1,7.0,40.00168,-105.29332,,V3,
Short Crack,Lower Great Ridge > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/119535066/short-crack,2.0,-1,Boulder,V1 PG13,1,30.0,40.00292,-105.29727,,V1,PG13
Northwest Bulge,Cicada Rock > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/120922208/northwest-bulge,1.5,-1,Boulder,V0,1,15.0,40.00402,-105.29519,,V0,
Private Pile,Boot Camp > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122312949/private-pile,1.7,-1,Boulder,V0,1,10.0,40.00388,-105.29855,,V0,
Major Munge,Boot Camp > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122312957/major-munge,1.7,-1,Boulder,V0,1,15.0,40.00388,-105.29855,,V0,
Brigadier Bulge,Boot Camp > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122305901/brigadier-bulge,1.6,-1,Boulder,V1,1,15.0,40.00388,-105.29855,,V1,
Sergeant Slab,Boot Camp > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122305877/sergeant-slab,2.0,-1,Boulder,V2,1,15.0,40.00388,-105.29855,,V2,
Colonel Choss,Boot Camp > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122312965/colonel-choss,2.5,-1,Boulder,V2-3,1,15.0,40.00388,-105.29855,,V2-3,
