user.name,Buttermilks occurences,user_dict
Chris Ching,38,"{'user_ID': 200351198, 'user_name': 'Chris Ching', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Elise Holston,38,"{'user_ID': 108847875, 'user_name': 'Elise Holston', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
self.guided,37,"{'user_ID': 106194330, 'user_name': 'self.guided', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
RAZORsharp,37,"{'user_ID': 106961386, 'user_name': 'RAZORsharp', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Zack Smith,36,"{'user_ID': 109859537, 'user_name': 'Zack Smith', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Jonnie Ribera,36,"{'user_ID': 201481023, 'user_name': 'Jonnie Ribera', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Jeff Edge,36,"{'user_ID': 107734618, 'user_name': 'Jeff Edge', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Michael Holmes,36,"{'user_ID': 111331398, 'user_name': 'Michael Holmes', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Gaar,36,"{'user_ID': 105918100, 'user_name': 'Gaar', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Ethan Kuske,36,"{'user_ID': 201708227, 'user_name': 'Ethan Kuske', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Peter Rakowitz,36,"{'user_ID': 106761693, 'user_name': 'Peter Rakowitz', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Siena Shepard,35,"{'user_ID': 200302775, 'user_name': 'Siena Shepard', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
dee to,35,"{'user_ID': 200613389, 'user_name': 'dee to', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Jamie Sookprasong,35,"{'user_ID': 110942763, 'user_name': 'Jamie Sookprasong', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Jenica Law,35,"{'user_ID': 7061789, 'user_name': 'Jenica Law', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
