Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
Unnamed Corridor Chockstone 5.11,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/201635395/unnamed-corridor-chockstone-511,3.0,-1,"Trad, Boulder",5.11 V2,1,20.0,41.15478,-105.37467,5.11,V2,
In The Dark,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106438151/in-the-dark,1.7,-1,"Trad, Boulder",V2-3,1,15.0,41.15478,-105.37467,,V2-3,
Campsite Host Boulder,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/111031236/campsite-host-boulder,3.7,-1,Boulder,V2-3,1,,41.15478,-105.37467,,V2-3,
Pineapple Doesn't Go On Pizza,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/201745712/pineapple-doesnt-go-on-pizza,3.0,-1,"Trad, Boulder",V3,1,12.0,41.15478,-105.37467,,V3,
Heel to Toe,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/119266118/heel-to-toe,3.0,-1,Boulder,V4-,1,10.0,41.15478,-105.37467,,V4-,
Slab Stealer,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106442678/slab-stealer,1.0,-1,"Trad, Boulder",V4,1,10.0,41.15478,-105.37467,,V4,
Slab and Grab,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/119292704/slab-and-grab,4.0,-1,Boulder,V4,1,15.0,41.15478,-105.37467,,V4,
Murphy's Law,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/109818100/murphys-law,4.0,-1,Boulder,V4-5,1,15.0,41.15478,-105.37467,,V4-5,
Blood Sport,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/109489309/blood-sport,3.5,-1,"TR, Boulder",5.11c V5,1,25.0,41.15478,-105.37467,5.11,V5,
Soak'em In Cider,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106220162/soakem-in-cider,3.8,-1,Boulder,V5+,1,15.0,41.15478,-105.37467,,V5+,
Sun Up To Sundown,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106438428/sun-up-to-sundown,4.0,-1,Boulder,V6,1,20.0,41.15478,-105.37467,,V6,
Lucky You,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106442644/lucky-you,1.7,-1,"Trad, Boulder",V6,1,15.0,41.15478,-105.37467,,V6,
E-D,Nautilus > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/126387280/e-d,1.3,-1,Boulder,V7,1,13.0,41.15478,-105.37467,,V7,
